"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2009,"Daniel Hackett",30,2,2,81,91,7.07106781186548,92
2009,"Micah Downs",29,2,2,64,80,11.3137084989848,93
2009,"Aaron Jackson",28,2,2,58,76,12.7279220613579,94
2009,"Stefon Jackson",27,1,1,74,74,,95
2009,"Josh Akognon",25,1,1,76,76,,96
2009,"Antonio Anderson",22,2,2,88,92,2.82842712474619,97
2009,"Josh Carter",19,2,2,89,94,3.53553390593274,98
2009,"Rudy Mbemba",17,1,1,84,84,,100
2009,"Kevin Rogers",16,2,2,92,94,1.4142135623731,101
2009,"Russell Hicks",14,1,1,87,87,,102
2009,"Ben Woodside",12,3,3,55,97,21.2837966537928,103
2009,"Oguz Savas",12,1,1,89,89,,103
2009,"Cedric Jackson",11,1,1,90,90,,105
2009,"Luigi Datome",10,1,1,91,91,,106
2009,"Charlie Coley",6,1,1,95,95,,107
2009,"Anthony Goods",5,1,1,96,96,,108
2009,"Lorrenzo Wade",5,1,1,96,96,,108
2009,"Eric Devendorf",4,1,1,97,97,,110
2009,"Lewis Clinch",3,1,1,98,98,,111
2009,"Ronald Steele",3,1,1,98,98,,111
2009,"Bryan Mullins",2,1,1,99,99,,113
2009,"C.J. Anderson",2,1,1,59,59,,113
2009,"Connor Atchley",1,1,1,100,100,,115
2009,"Nate Miles",1,1,1,100,100,,115
2010,"Mikhail Torrance",389,8,8,32,72,13.2449451274277,40
2010,"Artsiom Parakhouski",332,8,8,37,73,12.9442485849342,43
2010,"Miroslav Raduljica",329,8,8,24,77,20.5843213566609,45
2010,"Brian Zoubek",327,6,6,31,62,11.4484351186818,46
2010,"Sylven Landesberg",305,8,8,36,87,15.8204207998939,51
2010,"Jerome Randle",302,8,8,31,90,19.2089079038123,52
2010,"Sherron Collins",301,8,8,40,65,10.6099683586441,53
2010,"Charles Garcia",294,8,8,43,81,13.1305260475624,54
2010,"Alexey Shved",292,7,7,38,74,12.6321585080076,55
2010,"Manny Harris",290,7,7,45,67,9.79795897113271,56
2010,"Matt Bouldin",270,7,7,51,70,6.66904719402933,59
