"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"akoonde01","DeVaughn Akoon-Purcell",2019,2019,1,7,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"alabiso01","Solomon Alabi",2011,2012,2,26,0,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"alarima01","Mark Alarie",1987,1991,5,325,8.3,0,0,0,0,0,,,3,2,0,0,0,0,1,1,"1988: Detroit Pistons (3) - Washington Bullets (2)","1988: Detroit Pistons"
"alcorga01","Gary Alcorn",1960,1961,2,78,-1.3,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"aldemfu01","Furkan Aldemir",2015,2015,1,41,1.4,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"aldrico01","Cole Aldrich",2011,2018,8,339,9.6,0,0,0,0,0,,,6,1,0,0,1,0,1,3,"2012: Miami Heat (4) - Oklahoma City Thunder (1)","2012: Miami Heat"
"aldrila01","LaMarcus Aldridge",2007,2019,13,950,106.8,5,0,2,3,7,,,4,6,2,1,0,0,1,4,"2017: Golden State Warriors (4) - San Antonio Spurs (0)","2017: Golden State Warriors"
"aleksch01","Chuck Aleksinas",1985,1985,1,74,0.4,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"alexacl01","Cliff Alexander",2016,2016,1,8,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"alexaco01","Cory Alexander",1996,2005,7,307,3,0,0,0,0,0,,,6,0,1,0,0,0,1,2,"1996: Utah Jazz (4) - San Antonio Spurs (2)","1996: Utah Jazz"
"alexaco02","Courtney Alexander",2001,2003,3,187,4.1,0,0,0,0,0,,,2,1,0,0,0,0,1,2,"2003: Philadelphia 76ers (4) - New Orleans Hornets (2)","2003: Philadelphia 76ers"
"alexaga01","Gary Alexander",1994,1994,1,11,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"alexajo01","Joe Alexander",2009,2010,2,67,0.4,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"alexavi01","Victor Alexander",1992,2002,5,286,8.8,0,0,0,0,0,,,3,1,1,0,0,0,1,3,"2002: Boston Celtics (4) - Detroit Pistons (1)","2002: Boston Celtics"
"alforst01","Steve Alford",1988,1991,4,169,3.2,0,0,0,0,0,,,1,1,1,1,0,0,1,1,"1988: Los Angeles Lakers (4) - Dallas Mavericks (3)","1988: Los Angeles Lakers"
"alkinra01","Rawle Alkins",2019,2019,1,10,-0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"allenbo01","Bob Allen",1969,1969,1,27,0.1,0,0,0,0,0,,,0,0,1,0,0,0,1,2,"1969: Los Angeles Lakers (4) - San Francisco Warriors (2)","1969: Los Angeles Lakers"
"allengr01","Grayson Allen",2019,2019,1,38,0,0,0,0,0,0,,,0,1,0,0,0,0,1,3,"2019: Houston Rockets (4) - Utah Jazz (1)","2019: Houston Rockets"
"allenja01","Jarrett Allen",2018,2019,2,152,11.8,0,0,0,0,0,,,1,1,0,0,0,0,1,3,"2019: Philadelphia 76ers (4) - Brooklyn Nets (1)","2019: Philadelphia 76ers"
"allenje01","Jerome Allen",1996,1997,2,117,0.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"allenka01","Kadeem Allen",2018,2019,2,37,0.9,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"allenla01","Lavoy Allen",2012,2017,6,388,13.8,0,0,0,0,0,,,2,2,1,1,0,0,1,2,"2014: Miami Heat (4) - Indiana Pacers (2)","2014: Miami Heat"
"allenlu01","Lucius Allen",1970,1979,10,702,42.1,0,0,0,0,0,,293,5,0,2,2,0,1,,,,
"allenma01","Malik Allen",2002,2011,10,478,6.8,0,0,0,0,0,,,4,4,2,0,0,0,2,2,"2004: Indiana Pacers (4) - Miami Heat (2) / 2007: Detroit Pistons (4) - Chicago Bulls (2)","2004: Indiana Pacers / 2007: Detroit Pistons"
"allenra01","Randy Allen",1989,1990,2,70,0.2,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"allenra02","Ray Allen",1997,2014,18,1300,145.2,2,0,1,1,10,62,79,7,2,3,2,2,2,,,,
"allento01","Tony Allen",2005,2018,14,820,38.9,0,0,0,0,0,,,4,4,3,1,1,1,,,,
"allisod01","Odis Allison",1972,1972,1,36,-0.6,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"allrela01","Lance Allred",2008,2008,1,3,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"allumda01","Darrell Allums",1981,1981,1,22,-0.3,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"almonmo01","Morris Almond",2008,2012,3,38,0,0,0,0,0,0,,,3,0,0,0,0,0,,,,
"alstode01","Derrick Alston",1995,1997,3,139,2.6,0,0,0,0,0,,,3,0,0,0,0,0,,,,
