"state","GEOID","NAME","type","c2010","c2000","c1990","c1980","c1970","c1960","c1950","c1940","c1930","c1920","c1910","c1900","c1890","c1880","c1870","c1860","c1850","c1840","c1830","c1820","c1810","c1800","c1790","simp.name"
"MS","38100","Picayune, MS","Micropolitan Statistical Area",55834,48621,38714,33795,27802,22411,20641,19125,19405,15468,10593,6697,2957,0,0,0,0,0,0,0,0,0,0,"Picayune, MS"
"MS","44260","Starkville, MS","Micropolitan Statistical Area",57924,53196,48597,46318,38799,36755,36176,36311,31247,29516,34529,33802,29754,25512,14891,12977,9171,4276,0,0,0,0,0,"Starkville, MS"
"MS","46180","Tupelo, MS","Micropolitan Statistical Area",161544,150807,131113,122522,100491,90850,95257,102585,94837,82833,80039,69562,60367,57149,45640,39808,30640,9866,0,0,0,0,0,"Tupelo, MS"
"MS","46980","Vicksburg, MS","Micropolitan Statistical Area",48773,49644,47880,51627,44981,42206,39616,39595,35785,33362,37488,40912,33164,31238,26769,20696,18120,15820,7861,2693,1114,0,0,"Vicksburg, MS"
"MS","48500","West Point, MS","Micropolitan Statistical Area",20634,21979,21120,21082,18840,18933,17757,19030,17931,17490,20203,19563,18607,17367,0,0,0,0,0,0,0,0,0,"West Point, MS"
"MS-LA","35020","Natchez, MS-LA","Micropolitan Statistical Area",53119,54587,56184,61016,59871,58197,46654,41800,36342,34649,39543,43670,40902,37563,29061,33970,26359,28848,19599,14702,12897,4660,0,"Natchez, MS"
"MT","13740","Billings, MT","Metropolitan Statistical Area",167167,147099,128035,121732,99079,92859,71532,58741,49609,52509,36906,13745,2065,0,0,0,0,0,0,0,0,0,0,"Billings, MT"
"MT","14580","Bozeman, MT","Micropolitan Statistical Area",89513,67831,50463,42865,32505,26045,21902,18269,16124,15864,14079,9553,6246,3643,1578,0,0,0,0,0,0,0,0,"Bozeman, MT"
"MT","15580","Butte-Silver Bow, MT","Micropolitan Statistical Area",34200,34606,33941,38092,41981,46454,48422,53207,56969,60313,56848,47635,23744,0,0,0,0,0,0,0,0,0,0,"Butte, MT"
"MT","24500","Great Falls, MT","Metropolitan Statistical Area",81327,80357,77691,80696,81804,73418,53027,41999,41146,38836,28833,25777,8755,0,0,0,0,0,0,0,0,0,0,"Great Falls, MT"
"MT","25740","Helena, MT","Micropolitan Statistical Area",74801,65765,55434,50068,38519,32303,28554,26795,22357,23863,27454,24501,25171,8985,6571,0,0,0,0,0,0,0,0,"Helena, MT"
"MT","28060","Kalispell, MT","Micropolitan Statistical Area",90928,74471,59218,51966,39460,32965,31495,24271,19200,21705,18785,9375,0,0,0,0,0,0,0,0,0,0,0,"Kalispell, MT"
"MT","33540","Missoula, MT","Metropolitan Statistical Area",109299,95802,78687,76016,58263,44663,35493,29038,21782,24041,23596,13964,14427,2537,2554,0,0,0,0,0,0,0,0,"Missoula, MT"
"NC","10620","Albemarle, NC","Micropolitan Statistical Area",60585,58100,51765,48517,42822,40873,37130,32834,30216,27429,19909,15220,12136,10505,8315,7801,6922,0,0,0,0,0,0,"Albemarle, NC"
"NC","11700","Asheville, NC","Metropolitan Statistical Area",424858,369171,308001,282836,245573,223165,213477,192130,169920,125975,107212,95258,79006,55271,39231,34811,27352,20188,20859,14615,12057,5812,0,"Asheville, NC"
"NC","14380","Boone, NC","Micropolitan Statistical Area",51079,42695,36952,31666,23404,17529,18342,18114,15165,13477,13556,13417,10611,8160,5287,4957,3400,0,0,0,0,0,0,"Boone, NC"
"NC","14820","Brevard, NC","Micropolitan Statistical Area",33090,29334,25520,23417,19713,16372,15194,12241,9589,9303,7191,6620,5881,5340,3536,0,0,0,0,0,0,0,0,"Brevard, NC"
"NC","15500","Burlington, NC","Metropolitan Statistical Area",151131,130800,108213,99319,96362,85674,71220,57427,42140,32718,28712,25665,18271,14613,11874,11852,11444,0,0,0,0,0,0,"Burlington, NC"
"NC","19000","Cullowhee, NC","Micropolitan Statistical Area",54252,46089,38114,36094,29454,26167,29182,31543,29087,26620,23401,20254,16089,11127,6683,5515,0,0,0,0,0,0,0,"Cullowhee, NC"
"NC","20500","Durham-Chapel Hill, NC","Metropolitan Statistical Area",564273,474991,382970,326462,278618,241254,217620,182415,163306,129747,115433,104783,98037,92156,73231,70665,67534,69205,68695,63404,55330,48640,32419,"Durham, NC"
"NC","21020","Elizabeth City, NC","Micropolitan Statistical Area",54114,46265,41745,37948,35175,34808,33949,30341,29811,28807,27747,23751,20041,19835,16076,16178,16282,15860,16060,14865,13726,11087,10937,"Elizabeth City, NC"
"NC","22180","Fayetteville, NC","Metropolitan Statistical Area",481061,427634,365244,327113,278145,213010,159367,118496,97374,75099,57458,45237,41021,34698,25930,24408,20610,15284,14834,14446,9382,9264,8671,"Fayetteville, NC"
"NC","22580","Forest City, NC","Micropolitan Statistical Area",67810,62899,56918,53787,47337,45091,46356,45577,40452,31426,28385,25101,18770,15198,13121,11573,13550,19202,17557,15351,13202,10753,7808,"Forest City, NC"
"NC","24140","Goldsboro, NC","Metropolitan Statistical Area",122623,113329,104666,97054,85408,82059,64267,58328,53013,43640,35698,31356,26100,24951,18144,14905,13486,10891,10331,9040,8687,6772,6133,"Goldsboro, NC"
"NC","24660","Greensboro-High Point, NC","Metropolitan Statistical Area",723801,643430,540030,492308,437350,377646,306677,256368,220352,154277,126430,100469,78610,66165,54995,53595,50081,45492,44078,37316,31848,26953,20654,"Greensboro, NC"
"NC","24780","Greenville, NC","Metropolitan Statistical Area",168148,133798,107924,90146,73900,69942,63789,61244,54466,45569,36340,30889,25519,21794,17276,16080,13397,11806,12093,10001,9169,9084,8275,"Greenville, NC"
"NC","25780","Henderson, NC","Micropolitan Statistical Area",45422,42954,38892,36748,32691,32002,32101,29961,27294,22799,19425,16684,17581,0,0,0,0,0,0,0,0,0,0,"Henderson, NC"
"NC","25860","Hickory-Lenoir-Morganton, NC","Metropolitan Statistical Area",365497,341851,292409,270457,227402,191069,165218,139517,114339,89332,81497,66486,55356,46401,36105,33485,28171,15799,17888,13411,11007,9929,8118,"Hickory, NC"
"NC","27340","Jacksonville, NC","Metropolitan Statistical Area",177772,150355,149838,112784,103126,82706,42047,17939,15289,14703,14125,11940,10303,9829,7569,8856,8283,7527,7814,7016,6669,5623,5387,"Jacksonville, NC"
"NC","28620","Kill Devil Hills, NC","Micropolitan Statistical Area",33920,29967,22746,13377,6995,5935,5405,6041,5202,5115,4841,4757,3768,3243,2778,0,0,0,0,0,0,0,0,"Kill Devil Hills, NC"
"NC","28820","Kinston, NC","Micropolitan Statistical Area",59495,59648,57274,59819,55204,55276,45953,41211,35716,29555,22769,18639,14879,15344,10434,10220,7828,7605,7723,6799,5572,4005,0,"Kinston, NC"
"NC","29900","Laurinburg, NC","Micropolitan Statistical Area",36157,35998,33754,32273,26929,25183,26336,23232,20174,15600,15363,12553,0,0,0,0,0,0,0,0,0,0,0,"Laurinburg, NC"
"NC","31300","Lumberton, NC","Micropolitan Statistical Area",134168,123339,105179,101610,84842,89102,87769,76860,66512,54674,51945,40371,31483,23880,16262,15489,12826,10370,9433,8204,7528,6839,5326,"Lumberton, NC"
"NC","32000","Marion, NC","Micropolitan Statistical Area",44996,42151,35681,35135,30648,26742,25720,22996,20336,16763,13538,12567,10939,9836,7592,7120,6246,0,0,0,0,0,0,"Marion, NC"
"NC","33980","Morehead City, NC","Micropolitan Statistical Area",66469,59383,52556,41092,31603,30940,23059,18284,16900,15384,13776,11811,10825,9784,9010,8186,6939,6591,6597,5609,4823,4399,3732,"Morehead City, NC"
"NC","34340","Mount Airy, NC","Micropolitan Statistical Area",73673,71219,61704,59449,51415,48205,45593,41783,39749,32464,29705,25515,19281,15302,11252,10380,18443,15079,14504,12320,10366,9505,7191,"Mount Airy, NC"
"NC","35100","New Bern, NC","Metropolitan Statistical Area",126802,114751,102399,91146,81800,79628,69820,51930,50392,48020,44281,40431,35082,33543,25518,21998,19747,18383,19342,18610,17644,14584,15291,"New Bern, NC"
"NC","35900","North Wilkesboro, NC","Micropolitan Statistical Area",69340,65632,59393,58657,49524,45269,45243,43003,36162,32644,30282,26872,22675,19181,15539,14749,12099,12577,11968,9967,9054,7247,8143,"North Wilkesboro, NC"
"NC","38240","Pinehurst-Southern Pines, NC","Micropolitan Statistical Area",88247,74769,59013,50505,39048,36733,33129,30969,28215,21388,17010,23622,20479,16821,12040,11427,9342,7988,7745,7128,6367,4767,3770,"Pinehurst, NC"
"NC","39580","Raleigh-Cary, NC","Metropolitan Statistical Area",1130490,797071,541100,401981,317010,260773,233697,203724,181834,150820,129322,111992,97536,92229,66648,58390,50327,42697,42001,39450,34119,28267,23385,"Raleigh, NC"
"NC","40260","Roanoke Rapids, NC","Micropolitan Statistical Area",76790,79456,76314,77870,77893,85767,86809,84811,80407,66950,59969,51943,50150,50332,35157,32814,29924,30234,31130,30479,26702,26298,23946,"Roanoke Rapids, NC"
"NC","40460","Rockingham, NC","Micropolitan Statistical Area",46639,46564,44518,45481,39889,39202,39597,36810,34016,25567,19673,15855,23948,18245,12882,11009,9818,8909,9396,7537,6695,5623,5055,"Rockingham, NC"
"NC","40580","Rocky Mount, NC","Metropolitan Statistical Area",152392,143026,133235,123141,111463,115228,111553,104770,100676,79056,65737,52069,44820,43912,34047,29063,27846,24755,23425,21461,19691,17396,17648,"Rocky Mount, NC"
"NC","41820","Sanford, NC","Micropolitan Statistical Area",57866,49040,41374,36718,30467,26561,23522,18743,16996,13400,11376,0,0,0,0,0,0,0,0,0,0,0,0,"Sanford, NC"
"NC","43140","Shelby, NC","Micropolitan Statistical Area",98078,96287,84714,83435,72556,66048,64357,58055,51914,34272,29494,25078,20394,16571,12696,12348,10396,0,0,0,0,0,0,"Shelby, NC"
"NC","47820","Washington, NC","Micropolitan Statistical Area",47759,44958,42283,40355,35980,36014,37134,36431,35026,31024,30877,26404,21072,17474,13011,14766,13816,12225,10969,9850,7203,6242,5462,"Washington, NC"
"NC","48900","Wilmington, NC","Metropolitan Statistical Area",254884,201389,149139,125686,101145,90250,81695,65645,58696,55408,47508,39166,36540,33844,27978,21715,17668,13312,10959,10866,11465,7060,6831,"Wilmington, NC"
"NC","48980","Wilson, NC","Micropolitan Statistical Area",81234,73814,66061,63132,57486,57716,54506,50219,44914,36813,28269,23596,18644,16064,12258,9720,0,0,0,0,0,0,0,"Wilson, NC"
"NC","49180","Winston-Salem, NC","Metropolitan Statistical Area",640595,569207,488125,442969,377211,330767,267452,238074,214232,163014,125688,104728,92746,77272,61989,58903,43560,38445,29585,14033,11645,11026,8528,"Winston, NC"
"NC-SC","16740","Charlotte-Concord-Gastonia, NC-SC","Metropolitan Statistical Area",2243960,1742647,1365184,1163087,1009171,860111,740922,634891,560154,442463,381837,324892,268288,224913,171992,151645,140068,141600,146470,131745,105964,89702,66787,"Charlotte, NC"
"ND","13900","Bismarck, ND","Metropolitan Statistical Area",110625,96784,86212,82483,63346,57618,48059,46779,43678,38717,41953,15140,9439,3446,0,0,0,0,0,0,0,0,0,"Bismarck, ND"
"ND","19860","Dickinson, ND","Micropolitan Statistical Area",24982,23524,23940,24835,20811,19964,17914,17945,18480,16668,22690,8596,2474,1323,0,0,0,0,0,0,0,0,0,"Dickinson, ND"
"ND","27420","Jamestown, ND","Micropolitan Statistical Area",21100,21908,22241,24154,23550,25137,24158,23495,26100,24575,18189,9143,5266,1007,0,0,0,0,0,0,0,0,0,"Jamestown, ND"
"ND","33500","Minot, ND","Micropolitan Statistical Area",69540,67392,67609,69858,71365,62869,52743,51548,56299,52131,50748,13214,3364,0,0,0,0,0,0,0,0,0,0,"Minot, ND"
"ND","48780","Williston, ND","Micropolitan Statistical Area",22398,19761,21129,22237,19301,22051,16442,16315,19553,17980,14234,1530,0,0,0,0,0,0,0,0,0,0,0,"Williston, ND"
"ND-MN","22020","Fargo, ND-MN","Metropolitan Statistical Area",208777,174367,153296,137574,120238,106027,89240,78186,71855,63257,53575,46567,31130,14885,92,79,0,0,0,0,0,0,0,"Fargo, ND"
"ND-MN","24220","Grand Forks, ND-MN","Metropolitan Statistical Area",98461,97478,103181,100944,95537,84859,75343,72252,67975,65885,63889,59888,48549,17681,0,240,0,0,0,0,0,0,0,"Grand Forks, ND"
"ND-MN","47420","Wahpeton, ND-MN","Micropolitan Statistical Area",22897,25136,25664,27661,27478,29474,30432,30994,30799,31074,28722,25467,15097,5503,295,40,0,0,0,0,0,0,0,"Wahpeton, ND"
"NE","13100","Beatrice, NE","Micropolitan Statistical Area",22311,22993,22794,24456,25719,26818,28052,29588,30242,29721,30325,30051,36344,13164,3359,421,0,0,0,0,0,0,0,"Beatrice, NE"
"NE","18100","Columbus, NE","Micropolitan Statistical Area",32237,31662,29820,28852,26508,23992,19910,20191,21181,19464,19006,17747,15437,9511,1899,782,0,0,0,0,0,0,0,"Columbus, NE"
"NE","23340","Fremont, NE","Micropolitan Statistical Area",36691,36160,34500,35847,34782,32471,26265,23799,25273,23197,22145,22298,19260,11263,4212,309,0,0,0,0,0,0,0,"Fremont, NE"
"NE","24260","Grand Island, NE","Metropolitan Statistical Area",72726,68305,63022,63408,58409,50661,48224,45299,47756,45222,41523,36804,34701,18304,1614,225,0,0,0,0,0,0,0,"Grand Island, NE"
"NE","25580","Hastings, NE","Micropolitan Statistical Area",31364,31151,29625,30656,30553,28944,28855,24576,26275,22621,20900,18840,24303,10235,19,0,0,0,0,0,0,0,0,"Hastings, NE"
"NE","28260","Kearney, NE","Micropolitan Statistical Area",52591,49141,44076,41850,37929,32816,31543,30509,32432,32370,31013,30120,31223,11603,251,588,0,0,0,0,0,0,0,"Kearney, NE"
"NE","30420","Lexington, NE","Micropolitan Statistical Area",26370,26508,21868,24444,21645,21894,22127,21577,22162,20673,20894,17515,14945,4582,103,16,0,0,0,0,0,0,0,"Lexington, NE"
"NE","30700","Lincoln, NE","Metropolitan Statistical Area",302157,266787,229091,208673,182432,168853,132897,114752,116262,101769,89688,80525,92535,39237,10027,169,0,0,0,0,0,0,0,"Lincoln, NE"
"NE","35740","Norfolk, NE","Micropolitan Statistical Area",48271,49538,46726,46412,41653,39650,40130,41367,44926,40948,36765,32380,23152,8604,1921,0,0,0,0,0,0,0,0,"Norfolk, NE"
"NE","35820","North Platte, NE","Micropolitan Statistical Area",37590,35939,33932,38031,31152,30334,29562,28342,28999,26708,19675,12893,12220,3632,17,0,0,0,0,0,0,0,0,"North Platte, NE"
"NE","42420","Scottsbluff, NE","Micropolitan Statistical Area",38971,39245,38426,41107,39500,37653,38388,39321,34987,26673,15398,5721,6775,699,0,0,0,0,0,0,0,0,0,"Scottsbluff, NE"
"NE-IA","36540","Omaha-Council Bluffs, NE-IA","Metropolitan Statistical Area",865350,767041,685797,653889,616392,535717,444814,409446,403981,366152,326328,302868,305743,153886,74587,23258,7828,0,0,0,0,0,0,"Omaha, NE"
"NH","13620","Berlin, NH","Micropolitan Statistical Area",33055,33111,34828,35147,34291,37140,35932,39274,38959,36093,30753,29468,23211,18580,14932,13161,11853,9849,8388,5549,3991,0,0,"Berlin, NH"
"NH","18180","Concord, NH","Micropolitan Statistical Area",146445,136225,120005,98302,80925,67785,63022,60710,56152,51770,53335,52430,49435,46300,42151,41408,40337,36253,34614,0,0,0,0,"Concord, NH"
"NH","28300","Keene, NH","Micropolitan Statistical Area",77117,73825,70121,62116,52364,43342,38811,34953,33685,30975,30659,31321,29579,28734,27265,27434,30144,26429,27016,45376,40988,38825,28772,"Keene, NH"
"NH","29060","Laconia, NH","Micropolitan Statistical Area",60088,56325,49216,42884,32367,28912,26632,24328,22623,21178,21309,19526,20321,17948,17681,18549,17721,0,0,0,0,0,0,"Laconia, NH"
"NH","31700","Manchester-Nashua, NH","Metropolitan Statistical Area",400721,380841,336073,276608,223941,178161,156987,144888,140165,135512,126072,112640,93247,75634,64238,62140,57478,42494,37724,53884,49249,43899,32871,"Manchester, NH"
"NH-VT","30100","Lebanon, NH-VT","Micropolitan Statistical Area",218466,207845,193725,175638,147621,135421,132276,124997,121212,115757,113373,110391,105802,115670,116314,123949,127334,130880,126261,95903,88586,68275,39738,"Lebanon, NH"
"NJ","12100","Atlantic City-Hammonton, NJ","Metropolitan Statistical Area",274549,252552,224327,194119,175043,160880,132399,124066,124823,83914,71894,46402,28836,18704,14093,11786,8961,8726,0,0,0,0,0,"Atlantic City, NJ"
"NJ","36140","Ocean City, NJ","Metropolitan Statistical Area",97265,102326,95089,82266,59554,48555,37131,28919,29486,19460,19745,13201,11268,9765,8349,7130,6433,5324,4936,4265,3632,3066,2571,"Ocean City, NJ"
"NJ","45940","Trenton-Princeton, NJ","Metropolitan Statistical Area",366513,350761,325824,307863,303968,266392,229781,197318,187143,159881,125657,95365,79978,58061,46386,37419,27992,21502,0,0,0,0,0,"Trenton, NJ"
"NJ","47220","Vineland-Bridgeton, NJ","Metropolitan Statistical Area",156898,146438,138053,132866,121374,106850,88597,73184,69895,61348,55153,51193,45438,37687,34665,22605,17189,14374,14093,12668,12670,9529,8248,"Vineland, NJ"
"NM","10460","Alamogordo, NM","Micropolitan Statistical Area",63797,62298,51928,44665,41097,36976,14909,10522,9779,7902,7069,4791,0,0,0,0,0,0,0,0,0,0,0,"Alamogordo, NM"
"NM","10740","Albuquerque, NM","Metropolitan Statistical Area",887077,729649,599416,523105,379095,321982,188604,114560,82029,62244,55624,42525,34789,30320,16684,20090,21940,0,0,0,0,0,0,"Albuquerque, NM"
"NM","16100","Carlsbad-Artesia, NM","Micropolitan Statistical Area",53829,51658,48605,47855,41119,50783,40640,24311,15842,9116,12400,3229,0,0,0,0,0,0,0,0,0,0,0,"Carlsbad, NM"
"NM","17580","Clovis, NM","Micropolitan Statistical Area",48376,45044,42207,42019,39517,32691,23351,18159,15809,11236,11443,0,0,0,0,0,0,0,0,0,0,0,0,"Clovis, NM"
"NM","19700","Deming, NM","Micropolitan Statistical Area",25095,25016,18110,15585,11706,9839,8753,6457,6247,12270,3913,0,0,0,0,0,0,0,0,0,0,0,0,"Deming, NM"
"NM","21580","Española, NM","Micropolitan Statistical Area",40246,41190,34365,29282,25170,24193,24997,25352,21381,19552,16624,13777,11534,11023,9294,9849,10668,0,0,0,0,0,0,"Española, NM"
"NM","22140","Farmington, NM","Metropolitan Statistical Area",130044,113801,91605,81433,52517,53306,18292,17115,14701,8333,8504,4828,1890,0,0,0,0,0,0,0,0,0,0,"Farmington, NM"
"NM","23700","Gallup, NM","Micropolitan Statistical Area",71492,74798,60686,56449,43208,37209,27451,23641,20643,13731,12963,0,0,0,0,0,0,0,0,0,0,0,0,"Gallup, NM"
"NM","24380","Grants, NM","Micropolitan Statistical Area",27213,25595,23794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grants, NM"
"NM","26020","Hobbs, NM","Micropolitan Statistical Area",64727,55511,55765,55993,49554,53429,30717,21154,6144,3545,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hobbs, NM"
"NM","29740","Las Cruces, NM","Metropolitan Statistical Area",209233,174682,135510,96340,69773,59948,39557,30411,27455,16548,12893,10187,9191,7612,5864,6239,0,0,0,0,0,0,0,"Las Cruces, NM"
"NM","29780","Las Vegas, NM","Micropolitan Statistical Area",34274,35306,30007,26956,26624,29496,35232,38891,33958,36782,35541,32357,34822,30389,24114,19280,7074,0,0,0,0,0,0,"Las Vegas, NM"
"NM","31060","Los Alamos, NM","Micropolitan Statistical Area",17950,18343,18115,17599,15198,13037,10476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Los Alamos, NM"
"NM","38780","Portales, NM","Micropolitan Statistical Area",19846,18018,16702,15695,16479,16198,16409,14549,11109,6548,12064,0,0,0,0,0,0,0,0,0,0,0,0,"Portales, NM"
"NM","40740","Roswell, NM","Micropolitan Statistical Area",65645,61382,57849,51103,43335,57649,40605,23980,19549,12075,16850,4773,0,0,0,0,0,0,0,0,0,0,0,"Roswell, NM"
"NM","40760","Ruidoso, NM","Micropolitan Statistical Area",20497,19411,12219,10997,7560,7744,7409,8557,7198,7823,7822,4953,7081,2513,1803,0,0,0,0,0,0,0,0,"Ruidoso, NM"
"NM","42140","Santa Fe, NM","Metropolitan Statistical Area",144170,129292,98928,75360,53756,44970,38153,30826,19567,15030,14770,14658,13562,10867,9699,8114,7713,0,0,0,0,0,0,"Santa Fe, NM"
"NM","43500","Silver City, NM","Micropolitan Statistical Area",29514,31002,27676,26204,22030,18700,21649,20050,19050,21939,14813,12883,9657,4539,1143,0,0,0,0,0,0,0,0,"Silver City, NM"
"NM","45340","Taos, NM","Micropolitan Statistical Area",32937,29979,23118,19456,17516,15934,17146,18528,14394,12773,12008,10889,9868,11029,12079,14103,9507,0,0,0,0,0,0,"Taos, NM"
"NV","16180","Carson City, NV","Metropolitan Statistical Area",55274,52457,40443,32022,15468,8063,4172,3209,2221,2453,3415,2893,4883,5412,3668,0,0,0,0,0,0,0,0,"Carson City, NV"
"NV","21220","Elko, NV","Micropolitan Statistical Area",50805,46942,35077,18467,14906,12778,12550,12273,11293,9433,9963,7642,8069,12802,3447,0,0,0,0,0,0,0,0,"Elko, NV"
"NV","21980","Fallon, NV","Micropolitan Statistical Area",24877,23982,17938,13917,10513,8452,6161,5317,5075,4649,2811,830,703,479,196,0,0,0,0,0,0,0,0,"Fallon, NV"
"NV","22280","Fernley, NV","Micropolitan Statistical Area",51980,34501,20001,13594,8221,6143,3679,4076,3810,4078,3568,2268,1987,2409,1837,0,0,0,0,0,0,0,0,"Fernley, NV"
"NV","23820","Gardnerville Ranchos, NV","Micropolitan Statistical Area",46997,41259,27637,19421,6882,3481,2029,2056,1840,1825,1895,1534,1551,1581,1215,0,0,0,0,0,0,0,0,"Gardnerville Ranchos, NV"
"NV","29820","Las Vegas-Henderson-Paradise, NV","Metropolitan Statistical Area",1951269,1375765,741459,463087,273288,127016,48289,16414,8532,4859,3321,0,0,0,0,0,0,0,0,0,0,0,0,"Las Vegas, NV"
"NV","37220","Pahrump, NV","Micropolitan Statistical Area",43946,32485,17781,9048,5599,4374,3101,3606,3989,6504,7513,1140,1290,1875,1087,0,0,0,0,0,0,0,0,"Pahrump, NV"
"NV","39900","Reno, NV","Metropolitan Statistical Area",425417,342885,257193,195126,121763,85311,50876,33692,27825,20096,20479,12814,15243,21779,14450,0,0,0,0,0,0,0,0,"Reno, NV"
"NV","49080","Winnemucca, NV","Micropolitan Statistical Area",16528,16106,12844,9434,6375,5708,4838,4743,3795,3743,6825,4463,3434,3480,1916,40,0,0,0,0,0,0,0,"Winnemucca, NV"
"NY","10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",870716,825875,809443,771290,746660,680119,612062,552061,539736,489930,469949,422063,405690,381822,338817,306445,265890,219150,181872,150556,133263,98826,75736,"Albany, NY"
"NY","11220","Amsterdam, NY","Micropolitan Statistical Area",50219,49708,51981,53439,55883,57240,59594,59142,60076,57928,57567,47488,45699,38315,34457,30866,31992,35818,43715,37569,41214,22051,28848,"Amsterdam, NY"
"NY","12180","Auburn, NY","Micropolitan Statistical Area",80026,81963,82313,79894,77439,73942,70136,65508,64751,65221,67106,66234,65302,65081,59550,55767,55458,50338,47948,38897,29843,15907,0,"Auburn, NY"
"NY","12860","Batavia, NY","Micropolitan Statistical Area",60079,60370,60060,59400,58722,53994,47584,44481,44468,37976,37615,34561,33265,32806,31606,32189,28488,59587,52147,58093,12588,0,0,"Batavia, NY"
"NY","13780","Binghamton, NY","Metropolitan Statistical Area",251725,252320,264497,263460,268328,250463,214864,192821,172502,137822,104433,97100,92908,82156,74675,64654,55540,42865,45269,31314,16029,7109,0,"Binghamton, NY"
"NY","15380","Buffalo-Cheektowaga, NY","Metropolitan Statistical Area",1135509,1170111,1189288,1242826,1349211,1306957,1089230,958487,911737,753393,621021,508647,385472,274057,229136,192370,143269,93597,54201,22990,8971,0,0,"Buffalo, NY"
"NY","18500","Corning, NY","Micropolitan Statistical Area",98990,98726,99088,99217,99546,97691,91439,84927,82671,80627,83362,82822,81473,77586,67717,66690,63771,46138,33851,21989,7246,1788,0,"Corning, NY"
"NY","18660","Cortland, NY","Micropolitan Statistical Area",49336,48599,48963,48820,45894,41113,37158,33668,31709,29625,29249,27576,28657,25825,25173,26294,25140,24607,23791,16507,8869,0,0,"Cortland, NY"
"NY","21300","Elmira, NY","Metropolitan Statistical Area",88830,91070,95195,97656,101537,98706,86827,73718,74680,65872,54662,54063,48265,43065,35281,26917,28821,20732,0,0,0,0,0,"Elmira, NY"
"NY","24020","Glens Falls, NY","Metropolitan Statistical Area",128923,124345,118539,109649,102127,92478,86349,82761,80656,76561,80001,75567,73556,73050,72160,67338,61949,54502,54431,48284,44289,35792,14042,"Glens Falls, NY"
"NY","24100","Gloversville, NY","Micropolitan Statistical Area",55531,55073,54191,55153,52637,51304,51021,48597,46560,44927,44534,42842,37650,30985,27064,24162,20171,18049,0,0,0,0,0,"Gloversville, NY"
"NY","26460","Hudson, NY","Micropolitan Statistical Area",63096,63094,62982,59487,51519,47322,43182,41464,41617,38930,43658,43211,46172,47928,47044,47172,43073,43252,39907,38330,32390,35472,27732,"Hudson, NY"
"NY","27060","Ithaca, NY","Metropolitan Statistical Area",101564,96501,94097,87085,76879,66164,59122,42340,41490,35285,33647,33830,32923,34445,33178,31409,38746,37948,36545,20681,0,0,0,"Ithaca, NY"
"NY","27460","Jamestown-Dunkirk-Fredonia, NY","Micropolitan Statistical Area",134905,139750,141895,146925,147305,145377,135189,123580,126457,115348,105126,88314,75202,65342,59327,58422,50493,47975,34671,12568,0,0,0,"Jamestown, NY"
"NY","28740","Kingston, NY","Metropolitan Statistical Area",182493,177749,165304,158158,141241,118804,92621,87017,80155,74979,91769,88422,87062,85838,84075,76381,59384,45822,36550,30934,26576,24855,29397,"Kingston, NY"
"NY","31660","Malone, NY","Micropolitan Statistical Area",51599,51134,46540,44929,43931,44742,44830,44286,45694,43541,45717,42853,38110,32390,30271,30837,25102,16518,11312,4439,2617,0,0,"Malone, NY"
"NY","36300","Ogdensburg-Massena, NY","Micropolitan Statistical Area",111944,111931,111974,114254,111991,111239,98897,91098,90960,88121,89005,89083,85048,85997,84826,83689,68617,56706,36354,16037,7885,0,0,"Ogdensburg, NY"
"NY","36460","Olean, NY","Micropolitan Statistical Area",80317,83955,84234,85697,81666,80187,77901,72652,72398,71323,65919,65643,60866,55806,43909,43886,38950,28872,16724,4090,0,0,0,"Olean, NY"
"NY","36580","Oneonta, NY","Micropolitan Statistical Area",62259,61676,60517,59075,56181,51942,50763,46082,46710,46200,47216,48939,50861,51397,48967,50157,48638,49628,51372,44856,38802,21343,0,"Oneonta, NY"
"NY","38460","Plattsburgh, NY","Micropolitan Statistical Area",82128,79894,85969,80750,72934,72722,53622,54006,46687,43898,48230,47430,46437,50897,47947,45735,40047,28157,19344,12070,8002,8516,1614,"Plattsburgh, NY"
"NY","39100","Poughkeepsie-Newburgh-Middletown, NY","Metropolitan Statistical Area",670301,621517,567109,504658,443952,359742,289036,260655,235845,211591,203662,185529,175738,167404,154943,128753,116137,103137,96292,87828,85710,77130,63758,"Poughkeepsie, NY"
"NY","40380","Rochester, NY","Metropolitan Statistical Area",1079671,1062452,1025220,992689,981347,819272,692831,628935,611355,535603,474356,403660,377373,336921,296279,281526,266498,231171,188256,88267,42032,15218,1075,"Rochester, NY"
"NY","42900","Seneca Falls, NY","Micropolitan Statistical Area",35251,33342,33683,33733,35083,31984,29253,25732,24983,24735,26972,28114,28227,29278,27823,28138,25441,24874,21041,23619,16609,0,0,"Seneca Falls, NY"
"NY","45060","Syracuse, NY","Metropolitan Statistical Area",662577,650154,659864,642971,636507,563781,465114,405981,401041,352045,311251,280161,261022,239916,225646,210189,191160,151538,125130,86049,51131,7698,0,"Syracuse, NY"
