"state","GEOID","NAME","type","c2010","c2000","c1990","c1980","c1970","c1960","c1950","c1940","c1930","c1920","c1910","c1900","c1890","c1880","c1870","c1860","c1850","c1840","c1830","c1820","c1810","c1800","c1790","simp.name"
"AR","11660","Arkadelphia, AR","Micropolitan Statistical Area",22995,23546,21437,23326,21537,20950,22998,24402,24932,25632,23686,21289,20997,15771,11953,9735,4070,2309,1369,1040,0,0,0,"Arkadelphia, AR"
"AR","12900","Batesville, AR","Micropolitan Statistical Area",53911,51352,45301,44754,30956,26367,32487,37140,34940,35108,36464,34756,32379,27133,19966,14307,7767,3669,2031,0,0,0,0,"Batesville, AR"
"AR","14180","Blytheville, AR","Micropolitan Statistical Area",46480,51979,57525,59517,62060,70174,82375,80217,69289,47320,30468,16384,11635,7332,3633,3895,2368,1410,0,0,0,0,0,"Blytheville, AR"
"AR","15780","Camden, AR","Micropolitan Statistical Area",31488,34534,36400,36620,36469,37632,40183,40787,39642,32443,31668,29431,24300,17429,16828,17039,9591,0,0,0,0,0,0,"Camden, AR"
"AR","20980","El Dorado, AR","Micropolitan Statistical Area",41639,45629,46719,48573,45428,49518,49686,50461,55800,29691,30723,22495,14977,13419,10571,12288,10298,2889,640,0,0,0,0,"El Dorado, AR"
"AR","22220","Fayetteville-Springdale-Rogers, AR","Metropolitan Statistical Area",440121,325364,222526,189982,137299,101137,99789,91793,87842,86639,83334,85731,77142,55627,39328,31719,18503,12151,2182,0,0,0,0,"Fayetteville, AR"
"AR","22620","Forrest City, AR","Micropolitan Statistical Area",28258,29329,28497,30858,30799,33303,36841,36043,33394,28385,22548,17157,13543,8389,6714,8672,4479,2499,1505,0,0,0,0,"Forrest City, AR"
"AR","25460","Harrison, AR","Micropolitan Statistical Area",45233,42556,35963,33823,24917,22079,24945,26741,25501,27297,24930,28934,25766,18266,11406,3393,1758,0,0,0,0,0,0,"Harrison, AR"
"AR","25760","Helena-West Helena, AR","Micropolitan Statistical Area",21757,26445,28838,34772,40046,43997,46254,45970,40683,44530,33535,26561,25341,21262,15372,14877,6935,3547,1152,1201,0,0,0,"Helena, AR"
"AR","26260","Hope, AR","Micropolitan Statistical Area",31606,33542,31722,34732,29419,30361,39861,52639,51254,53536,47629,40710,37628,31974,13768,13989,7672,4921,2512,2248,0,0,0,"Hope, AR"
"AR","26300","Hot Springs, AR","Metropolitan Statistical Area",96024,88068,73397,70531,54131,46697,47102,41664,36031,25785,27271,18773,15328,9023,0,0,0,0,0,0,0,0,0,"Hot Springs, AR"
"AR","27860","Jonesboro, AR","Metropolitan Statistical Area",121026,107762,93620,90271,78890,78137,89924,84870,74435,58389,40418,26530,16297,9229,6297,6687,2308,1320,0,0,0,0,0,"Jonesboro, AR"
"AR","30780","Little Rock-North Little Rock-Conway, AR","Metropolitan Statistical Area",699757,610518,535034,494758,396462,334011,288070,249799,233056,207941,173926,134590,109569,76558,42605,20804,10538,7411,2395,1923,0,0,0,"Little Rock, AR"
"AR","31620","Magnolia, AR","Micropolitan Statistical Area",24552,25603,25691,26644,25952,26400,28770,29822,27320,27670,23820,22077,19893,14090,11397,12449,0,0,0,0,0,0,0,"Magnolia, AR"
"AR","31680","Malvern, AR","Micropolitan Statistical Area",32923,30353,26115,26819,21963,21893,22181,18916,18105,17784,15022,12748,11603,7775,5877,5635,3609,1907,458,0,0,0,0,"Malvern, AR"
"AR","34260","Mountain Home, AR","Micropolitan Statistical Area",41513,38386,31186,27409,15319,9943,11683,10281,9519,10216,10389,9298,8527,6004,0,0,0,0,0,0,0,0,0,"Mountain Home, AR"
"AR","37500","Paragould, AR","Micropolitan Statistical Area",42090,37331,31804,30744,24765,25198,29149,30204,26127,26105,23852,16979,12908,7480,7573,5843,2593,1586,0,0,0,0,0,"Paragould, AR"
"AR","38220","Pine Bluff, AR","Metropolitan Statistical Area",100258,107341,106958,111955,104847,102764,102110,97380,97148,91364,81333,65981,62498,40011,15733,14971,5834,2566,772,0,0,0,0,"Pine Bluff, AR"
"AR","40780","Russellville, AR","Micropolitan Statistical Area",83939,75608,63642,56047,42815,33117,37348,46652,47860,52808,50850,44465,37473,28174,16434,14216,8051,2850,1483,0,0,0,0,"Russellville, AR"
"AR","42620","Searcy, AR","Micropolitan Statistical Area",77076,67165,54676,50835,39253,32745,38040,37176,38269,34603,28574,24864,22946,17794,10347,8316,2619,929,0,0,0,0,0,"Searcy, AR"
"AR-OK","22900","Fort Smith, AR-OK","Metropolitan Statistical Area",248208,225061,190808,177518,139585,116217,119060,125550,112242,128628,121863,98099,74848,49251,31524,24386,11932,6931,2440,0,0,0,0,"Fort Smith, AR"
"AZ","22380","Flagstaff, AZ","Metropolitan Statistical Area",134421,116320,96591,75008,48326,41857,23910,18770,14064,9982,8130,5514,0,0,0,0,0,0,0,0,0,0,0,"Flagstaff, AZ"
"AZ","29420","Lake Havasu City-Kingman, AZ","Metropolitan Statistical Area",200186,155032,93497,55865,25857,7736,8510,8591,5572,5259,3773,3426,1444,1190,179,0,0,0,0,0,0,0,0,"Lake Havasu City, AZ"
"AZ","35700","Nogales, AZ","Micropolitan Statistical Area",47420,38381,29676,20459,13966,10808,9344,9482,9684,12689,6766,4545,0,0,0,0,0,0,0,0,0,0,0,"Nogales, AZ"
"AZ","37740","Payson, AZ","Micropolitan Statistical Area",53597,51335,40216,37080,29255,25745,24158,23867,31016,25678,16348,4973,2021,0,0,0,0,0,0,0,0,0,0,"Payson, AZ"
"AZ","38060","Phoenix-Mesa-Chandler, AZ","Metropolitan Statistical Area",4192887,3251876,2238480,1599970,1035438,726183,374961,215034,173051,105706,43533,28236,15237,8733,0,0,0,0,0,0,0,0,0,"Phoenix, AZ"
"AZ","39150","Prescott Valley-Prescott, AZ","Metropolitan Statistical Area",211033,167517,107714,68145,36733,28912,24991,26511,28470,24016,15996,13799,8685,5013,2142,0,0,0,0,0,0,0,0,"Prescott Valley, AZ"
"AZ","40940","Safford, AZ","Micropolitan Statistical Area",37220,33489,26554,22862,16578,14045,12985,12113,10373,10148,23999,14162,5670,0,0,0,0,0,0,0,0,0,0,"Safford, AZ"
"AZ","43320","Show Low, AZ","Micropolitan Statistical Area",107449,97470,77658,67629,47715,37994,29446,25309,21202,16077,11471,8829,0,0,0,0,0,0,0,0,0,0,0,"Show Low, AZ"
"AZ","43420","Sierra Vista-Douglas, AZ","Metropolitan Statistical Area",131346,117755,97624,85686,61910,55039,31488,34627,40998,46465,34591,9251,6938,0,0,0,0,0,0,0,0,0,0,"Sierra Vista, AZ"
"AZ","46060","Tucson, AZ","Metropolitan Statistical Area",980263,843746,666880,531443,351667,265660,141216,72838,55676,34680,22818,14689,12673,17006,5716,0,0,0,0,0,0,0,0,"Tucson, AZ"
"AZ","49740","Yuma, AZ","Metropolitan Statistical Area",195751,160026,106895,90554,60827,46235,28006,19326,17816,14904,7733,4145,2671,3215,1621,0,0,0,0,0,0,0,0,"Yuma, AZ"
"CA","12540","Bakersfield, CA","Metropolitan Statistical Area",839631,661645,543477,403089,329162,291984,228309,135124,82570,54843,37715,16480,9808,5601,2925,0,0,0,0,0,0,0,0,"Bakersfield, CA"
"CA","17020","Chico, CA","Metropolitan Statistical Area",220000,203171,182120,143851,101969,82030,64930,42840,34093,30030,27301,17117,17939,18721,11403,12106,3574,0,0,0,0,0,0,"Chico, CA"
"CA","17340","Clearlake, CA","Micropolitan Statistical Area",64665,58309,50631,36366,19548,13786,11481,8069,7166,5402,5526,6017,7101,6596,2969,0,0,0,0,0,0,0,0,"Clearlake, CA"
"CA","18860","Crescent City, CA","Micropolitan Statistical Area",28610,27507,23460,18217,14580,17771,8078,4745,4739,2759,2417,2408,2592,2584,2022,1993,0,0,0,0,0,0,0,"Crescent City, CA"
"CA","20940","El Centro, CA","Metropolitan Statistical Area",174528,142361,109303,92110,74492,72105,62975,59740,60903,43453,13591,0,0,0,0,0,0,0,0,0,0,0,0,"El Centro, CA"
"CA","21700","Eureka-Arcata, CA","Micropolitan Statistical Area",134623,126518,119118,108514,99692,104892,69241,45812,43233,37413,33857,27104,23469,15512,6140,2694,0,0,0,0,0,0,0,"Eureka, CA"
"CA","23420","Fresno, CA","Metropolitan Statistical Area",930450,799407,667490,514621,413053,365945,276515,178565,144379,128779,75657,37862,32026,9478,6336,4605,0,0,0,0,0,0,0,"Fresno, CA"
"CA","25260","Hanford-Corcoran, CA","Metropolitan Statistical Area",152982,129461,101469,73738,64610,49954,46768,35168,25385,22031,16230,9871,0,0,0,0,0,0,0,0,0,0,0,"Hanford, CA"
"CA","31080","Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",12828837,12365627,11273720,9410212,8452461,6742696,4367911,2916403,2327166,997830,538567,189994,115043,33381,15309,11333,3530,0,0,0,0,0,0,"Los Angeles, CA"
"CA","31460","Madera, CA","Metropolitan Statistical Area",150865,123109,88090,63116,41519,40468,36964,23314,17164,12203,8368,6364,0,0,0,0,0,0,0,0,0,0,0,"Madera, CA"
"CA","32900","Merced, CA","Metropolitan Statistical Area",255793,210554,178403,134560,104629,90446,69780,46988,36748,24579,15148,9215,8085,5656,2807,1141,0,0,0,0,0,0,0,"Merced, CA"
"CA","33700","Modesto, CA","Metropolitan Statistical Area",514453,446997,370522,265900,194506,157294,127231,74866,56641,43557,22522,9550,10040,8751,6499,2245,0,0,0,0,0,0,0,"Modesto, CA"
