"sport","year","teams","non_na","mean_season","med_season","sd_season"
"cbbm",1893,2,0,,,
"cbbm",1894,1,0,,,
"cbbm",1895,2,2,1,1,0
"cbbm",1896,16,5,1.2,1,0.447213595499958
"cbbm",1897,21,6,1.66666666666667,1.5,0.816496580927726
"cbbm",1898,24,10,1.8,1,1.13529242439509
"cbbm",1899,28,12,2,1.5,1.34839972492648
"cbbm",1900,32,13,1.69230769230769,1,1.18213192894698
"cbbm",1901,45,20,1.95,1.5,1.31689427302111
"cbbm",1902,61,29,1.93103448275862,1,1.53369382497566
"cbbm",1903,67,37,2.01351351351351,1,1.68525668373993
"cbbm",1904,68,39,2.32871794871795,2,1.94109461724317
"cbbm",1905,77,43,2.37441860465116,1,2.11559887088804
"cbbm",1906,98,65,2.14,1,2.068876506706
"cbbm",1907,107,84,2.16785714285714,1,2.10003790638684
"cbbm",1908,118,95,2.3578947368421,2,2.16311334666122
"cbbm",1909,128,105,2.22857142857143,1,1.95259759362685
"cbbm",1910,130,110,2.23636363636364,2,1.95324840102245
"cbbm",1911,136,115,2.35652173913043,2,2.14472549401985
"cbbm",1912,138,126,2.4047619047619,2,2.23849439196464
"cbbm",1913,150,138,2.44927536231884,2,2.20176592618178
"cbbm",1914,150,139,2.49640287769784,2,2.18484271552573
"cbbm",1915,155,145,2.61724137931034,2,2.35408465425247
"cbbm",1916,163,153,2.98366013071895,2,2.56393143629948
"cbbm",1917,165,156,3.11217948717949,2,2.69322550230875
"cbbm",1918,161,150,3.08,2,2.92528894918803
"cbbm",1919,158,148,3.28378378378378,2,3.15590482198838
"cbbm",1920,171,164,2.90496988858777,1,3.31208988822013
"cbbm",1921,174,168,2.85411165621468,2,3.34141061754634
"cbbm",1922,172,168,2.91633597883598,2,3.1554791641244
"cbbm",1923,170,167,3.12506986027944,2,3.30617725256214
"cbbm",1924,171,169,3.23635765943458,2,3.46439344722134
"cbbm",1925,171,170,3.44084967320262,3,2.92067767856021
"cbbm",1926,170,168,3.60681216931217,3,3.10272963896806
"cbbm",1927,169,168,3.83895502645503,3,3.11669397308046
"cbbm",1928,168,167,4.16134397870925,3,3.24696355558323
"cbbm",1929,170,169,4.43162393162393,3,3.46655092399376
"cbbm",1930,170,169,4.76824457593688,4,3.40162631330002
"cbbm",1931,171,169,4.93261012491782,4,3.59196269133101
"cbbm",1932,167,166,5.41934404283802,4,3.87796231811246
"cbbm",1933,164,162,5.62928669410151,4.5,4.08515780729672
"cbbm",1934,164,159,5.67889587700908,5,4.27948368545895
"cbbm",1935,161,159,6.17575122292103,5,4.49048269587157
"cbbm",1936,159,157,6.1216401634964,5,4.90417839637344
"cbbm",1937,160,158,6.36040787623066,5,5.12216771314015
"cbbm",1938,160,158,7.01262045076775,5,5.39647866939705
"cbbm",1939,161,159,7.01851851851852,5,5.70670498115496
"cbbm",1940,158,158,7.3691678955027,5,5.95803862078316
"cbbm",1941,158,158,7.82578390005791,6,6.25290788178361
"cbbm",1942,159,158,7.95534458509142,6,6.55550595198993
"cbbm",1943,161,160,6.61934491919285,4,6.92381092230669
"cbbm",1944,128,128,6.17808159722222,2,7.15888589638321
"cbbm",1945,147,146,6.50437142524213,3,7.2663536214371
"cbbm",1946,160,160,6.371875,3,7.45813690373217
"cbbm",1947,166,165,5.87703573836267,2,7.320488800429
"cbbm",1948,159,159,5.8785476969853,2,7.45884772964815
"cbbm",1949,147,147,6.0777934713911,3,7.19826749005342
"cbbm",1950,144,144,5.94788543943332,3,7.15022813595684
"cbbm",1951,152,152,5.79190930585911,4,7.13526726434269
"cbbm",1952,156,156,5.96895234395234,4,7.06864729534293
"cbbm",1953,158,158,5.88073775732004,4,6.76300881819895
"cbbm",1954,160,160,6.24472853535354,4,6.35030280651309
"cbbm",1955,162,162,6.44859934927275,5,6.33547254147588
"cbbm",1956,166,166,6.60335280516003,5,6.51556096262407
"cbbm",1957,167,167,6.84868646545293,5,6.32481124947744
"cbbm",1958,173,173,7.04468577878982,6,6.41785156795779
"cbbm",1959,174,174,6.9745617236763,5,6.11490322649211
"cbbm",1960,175,175,6.90122973520967,5,5.9112143402526
"cbbm",1961,173,173,7.39298414842051,6,6.38867103666322
"cbbm",1962,178,178,7.3441759933291,6,6.10763396467292
"cbbm",1963,178,178,7.2737802739119,5.29333333333334,6.38235505208621
"cbbm",1964,179,179,7.34925214147038,6,6.64997015108283
"cbbm",1965,180,180,7.29609554673309,6,5.86547040280852
"cbbm",1966,182,182,7.12075643837768,5,6.08305709694122
"cbbm",1967,186,186,6.63470212291215,5,6.26393206729804
"cbbm",1968,190,190,6.36048470979821,4,6.06658304804616
"cbbm",1969,193,193,5.95786059513813,4,6.04015241037254
"cbbm",1970,196,196,5.91450048398806,4,6.06667512821693
"cbbm",1971,203,203,5.82666559039677,4,5.78420520508872
"cbbm",1972,212,212,5.49061946052307,3.625,5.85454817243541
"cbbm",1973,217,217,5.20201572620927,3,5.28240267060483
"cbbm",1974,233,232,4.58727235126562,3,4.89002823880433
"cbbm",1975,235,234,4.52563474472298,3,4.5739397604035
"cbbm",1976,234,234,4.72176785181217,3,4.25741061805422
"cbbm",1977,244,244,4.60077553713093,3.12962962962963,4.20254511459735
"cbbm",1978,253,253,4.70851230298895,3.46153846153846,4.35628702432347
"cbbm",1979,256,256,4.63808574671856,3,4.55424109990418
"cbbm",1980,260,260,4.73577141709193,3,4.69422310716302
"cbbm",1981,264,264,4.72506847124118,3,4.52914631117244
"cbbm",1982,273,273,5.03251087326495,4,4.69769208650741
"cbbm",1983,274,274,5.24935929924514,4,4.79972239394043
"cbbm",1984,275,275,5.49305365132951,4,4.98622697689147
"cbbm",1985,282,282,5.74844135235473,5,4.63864012307909
"cbbm",1986,283,283,5.57617575793149,4,4.95008428853905
"cbbm",1987,290,290,5.00726313797833,3,4.97490753636766
"cbbm",1988,290,290,5.16136336620288,3,5.01014173389815
"cbbm",1989,293,293,5.49544885914587,4,5.18272711094627
"cbbm",1990,292,292,5.20921250716313,4,5.05853800999195
"cbbm",1991,295,295,5.33420704571489,4,5.06852001288195
