"sport","fran_id","year","season.order","lg","coach","coach_id","g","coach_g","coach_dur","weight","change","stint_id","cum_season","coach_tag","g_no_tie","fran_id_fix","season","g_final","fran_id_final","min_yr","max_yr","team"
"cfb","southern-california",1940,19,"PCC",,"howard-jones-1",9,9,1,1,FALSE,7,16,"Jones, Howard",,,,9,"southern-california",1925,1940,"USC"
"cfb","tennessee",1940,37,"SEC",,"bob-neyland-1",11,11,1,1,FALSE,4,5,"Neyland, Bob",,,,11,"tennessee",1936,1940,"Tennessee"
"cfb","texas-tech",1940,9,"BIAA",,"pete-cawthon-1",11,11,1,1,FALSE,12,9,"Cawthon, Pete",,,,11,"texas-tech",1932,1940,"Texas Tech"
"cfb","tulsa",1940,9,"MVC",,"chet-benefiel-1",10,10,1,1,FALSE,3,2,"Benefiel, Chet",,,,10,"tulsa",1939,1940,"Tulsa"
"cfb","virginia-tech",1940,39,"Southern",,"henry-redd-1",10,10,1,1,FALSE,15,9,"Redd, Henry",,,,10,"virginia-tech",1932,1940,"Virginia Tech"
"cfb","washburn",1940,7,"MVC",,"elmer-holm-1",10,10,1,1,FALSE,1,5,"Holm, Elmer",,,,10,"washburn",1936,1940,"Washburn"
"cfb","washington-lee",1940,34,"Southern",,"tex-tilson-1",10,10,1,1,FALSE,18,8,"Tilson, Tex",,,,10,"washington-lee",1933,1940,"Washington & Lee"
"cfb","wyoming",1940,32,"MSAC",,"okie-blanchard-1",9,9,1,1,TRUE,22,1,"Blanchard, Okie",,,,9,"wyoming",1940,1940,"Wyoming"
"cfb","yale",1940,67,"Ind",,"ducky-pond-1",8,8,1,1,FALSE,2,4,"Pond, Ducky",,,,8,"yale",1937,1940,"Yale"
"mlb","CHC",1940,,"NL",,"hartnga01",154,154,1,1,FALSE,25,2.46710526315789,"Gabby Hartnett",154,,,154,"CHC",1938,1940,"Chicago Cubs"
"mlb","CLE",1940,,"AL",,"vittos01",155,154,1,1,FALSE,46,3,"Ossie Vitt",154,,,154,"CLE",1938,1940,"Cleveland Guardians"
"mlb","STL",1940,,"NL",,"bladera01",156,38,0.248366013071895,0.248366013071895,FALSE,1,1.2483660130719,"Ray Blades",153,,,153,"STL",1939,1940,"St. Louis Cardinals"
"mlb","STL",1940,,"NL",,"gonzami01",156,6,0.0392156862745098,0.0392156862745098,TRUE,9,0.0392156862745098,"Mike González",153,,,153,"STL",1940,1940,"St. Louis Cardinals"
"nfl","det",1940,,"NFL","Clark","ClarPo0",11,11,1,1,TRUE,7,1,"Potsy Clark",,"det",,11,"det",1940,1940,"Detroit Lions"
"nfl","phi",1940,,"NFL","Bell","BellBe0",11,11,1,1,FALSE,1,5,"Bert Bell",,"phi",,11,"phi",1936,1940,"Philadelphia Eagles"
